[-25.734774415231392, 28.248130198632904];2.1;0.086;-0.523;10.31;
[-25.734774415231392, 28.248130198632904];0.0;0.227;-0.512;10.355;
[-25.734774415231392, 28.248130198632904];0.0;-2.153;-2.269;12.712;
[-25.734774415231392, 28.248130198632904];0.0;-2.25;5.324;11.517;
[-25.734774415231392, 28.248130198632904];0.0;-2.505;5.364;12.112;
[-25.734774415231392, 28.248130198632904];0.0;-5.555;3.118;12.205;
[-25.734774415231392, 28.248130198632904];0.0;-5.366;2.177;16.931;
[-25.734774415231392, 28.248130198632904];0.0;0.492;0.178;10.4;
[-25.734774415231392, 28.248130198632904];0.0;0.463;0.142;10.327;
[-25.734774415231392, 28.248130198632904];0.0;0.447;0.132;10.328;
[-25.734774415231392, 28.248130198632904];0.0;0.451;0.141;10.323;
[-25.734774415231392, 28.248130198632904];0.0;0.445;0.139;10.326;
[-25.734774415231392, 28.248130198632904];0.0;0.451;0.137;10.32;
[-25.734774415231392, 28.248130198632904];0.0;0.448;0.133;10.329;
[-25.734774415231392, 28.248130198632904];0.0;0.442;0.137;10.329;
[-25.734774415231392, 28.248130198632904];0.0;0.445;0.138;10.339;
[-25.734774415231392, 28.248130198632904];0.0;0.439;0.139;10.324;
[-25.734774415231392, 28.248130198632904];0.0;0.45;0.134;10.325;
[-25.734276137868566, 28.247538656497877];2.0;0.439;0.135;10.324;
[-25.734229268305604, 28.247854575422856];1.0;0.438;0.14;10.326;
[-25.734182452645687, 28.24798494584757];2.0;0.447;0.139;10.326;
[-25.734632564853506, 28.24886213459029];2.0;0.449;0.136;10.334;
[-25.73475113890684, 28.248656541534427];1.0;0.444;0.146;10.328;
[-25.734918109059514, 28.24859311035328];0.0;0.45;0.142;10.329;
[-25.73487588288898, 28.24847985117641];0.0;0.452;0.142;10.332;
[-25.734488570271083, 28.24804267656958];0.0;0.438;0.153;10.335;
[-25.734361832651558, 28.24763536716736];0.0;0.443;0.142;10.335;
[-25.734285983515047, 28.24769307093084];0.0;0.446;0.151;10.33;
[-25.734217983153606, 28.24730949689068];0.0;0.443;0.156;10.324;
[-25.734240674277693, 28.247207648102453];0.0;0.454;0.136;10.329;
[-25.734219861363066, 28.24740537495567];0.0;0.447;0.131;10.335;
[-25.734242342926944, 28.24768014341821];2.0;0.45;0.142;10.343;
[-25.73432930480836, 28.24783161228269];0.0;0.451;0.138;10.329;
[-25.73410812729373, 28.247646782682583];0.0;0.443;0.142;10.325;
[-25.7346235290949, 28.248060373717504];0.0;0.442;0.142;10.33;
[-25.734629306257034, 28.24835754682945];0.0;0.446;0.152;10.332;
[-25.734605884240537, 28.24836569814167];0.0;0.441;0.161;10.335;
[-25.734605884240537, 28.24836569814167];0.0;0.443;0.138;10.325;
[-25.734605884240537, 28.24836569814167];0.0;0.458;0.148;10.33;
[-25.734605884240537, 28.24836569814167];0.0;0.448;0.136;10.333;
[-25.734493134848755, 28.247975663367427];0.0;0.53;0.387;10.324;
[-25.734493134848755, 28.247975663367427];0.0;0.516;0.339;10.335;
[-25.734493134848755, 28.247975663367427];0.0;0.485;0.186;10.331;
[-25.734493134848755, 28.247975663367427];0.0;0.472;0.156;10.332;
[-25.734493134848755, 28.247975663367427];0.0;0.452;0.15;10.324;
[-25.734493134848755, 28.247975663367427];0.0;0.445;0.138;10.329;
[-25.734493134848755, 28.247975663367427];0.0;0.449;0.151;10.329;
[-25.734493134848755, 28.247975663367427];0.0;0.451;0.143;10.328;
[-25.734493134848755, 28.247975663367427];0.0;0.457;0.145;10.333;
[-25.734493134848755, 28.247975663367427];0.0;0.452;0.143;10.333;
[-25.734493134848755, 28.247975663367427];0.0;0.453;0.136;10.329;
[-25.734493134848755, 28.247975663367427];0.0;0.446;0.145;10.326;
[-25.734493134848755, 28.247975663367427];0.0;0.45;0.145;10.325;
[-25.734493134848755, 28.247975663367427];0.0;0.458;0.145;10.33;
[-25.734493134848755, 28.247975663367427];0.0;0.448;0.146;10.337;
[-25.734493134848755, 28.247975663367427];0.0;0.441;0.142;10.33;
[-25.734493134848755, 28.247975663367427];0.0;0.454;0.159;10.327;
[-25.734493134848755, 28.247975663367427];0.0;0.45;0.145;10.321;
[-25.734493134848755, 28.247975663367427];0.0;0.672;0.17;10.526;
