[-25.75753548767075, 28.236085837044243];1.0;-3.891;9.033;-1.231;
[-25.75753548767075, 28.236085837044243];1.0;-3.892;9.016;-1.199;
[-25.75753548767075, 28.236085837044243];1.0;-3.878;9.014;-1.213;
[-25.75753548767075, 28.236085837044243];1.0;-3.896;9.032;-1.214;
[-25.75753548767075, 28.236085837044243];1.0;-3.881;8.993;-1.188;
[-25.75753548767075, 28.236085837044243];1.0;-3.897;9.018;-1.194;
[-25.75753548767075, 28.236085837044243];1.0;-3.874;9.042;-1.211;
[-25.75753548767075, 28.236085837044243];1.0;-3.874;9.06;-1.238;
[-25.75753548767075, 28.236085837044243];1.0;-3.881;9.01;-1.24;
[-25.75753548767075, 28.236085837044243];1.0;-3.876;9.011;-1.212;
[-25.75753548767075, 28.236085837044243];1.0;-3.865;9.004;-1.208;
[-25.75753548767075, 28.236085837044243];1.0;-3.87;9.011;-1.22;
[-25.75753548767075, 28.236085837044243];1.0;-3.874;9.019;-1.221;
[-25.75753548767075, 28.236085837044243];1.0;-3.884;9.027;-1.225;
[-25.75753548767075, 28.236085837044243];1.0;-3.865;9.036;-1.207;
[-25.75753548767075, 28.236085837044243];1.0;-3.93;9.336;-2.448;
[-25.75753548767075, 28.236085837044243];1.0;-4.468;9.516;-3.358;
[-25.757549131623755, 28.23608077401444];1.0;-3.994;9.681;-3.462;
[-25.757573359895975, 28.23607273018124];2.0;-4.02;9.607;-3.093;
[-25.757605951946275, 28.2360617053637];3.0;-4.306;10.025;-4.147;
[-25.757649378876597, 28.236045549947907];5.0;-3.752;12.347;-3.273;
[-25.757698904854845, 28.236022876327084];5.0;-3.549;11.691;-2.604;
[-25.757738357934144, 28.235989449590114];5.0;-1.917;10.026;-2.682;
[-25.75776681877051, 28.235937821907633];6.0;-1.278;11.387;-2.717;
[-25.757776933225458, 28.235864751261598];7.0;-0.864;10.849;-2.634;
[-25.757764698680354, 28.23578032350475];9.0;-3.643;9.837;-2.486;
[-25.75774701380044, 28.235687236225424];10.0;-3.694;9.785;-1.596;
[-25.757726713172328, 28.23558616379487];10.0;-3.465;9.813;-2.68;
[-25.757703324804606, 28.235477509808504];11.0;-3.488;10.048;-2.193;
[-25.757678746570328, 28.235369115862238];11.0;-3.646;9.849;-3.625;
[-25.7576549839881, 28.235258919086533];12.0;-3.834;9.904;-2.84;
[-25.757628661153046, 28.23513805993579];13.0;-3.585;9.93;-2.385;
[-25.757597949897214, 28.23500728344797];13.0;-3.599;11.767;-2.89;
[-25.757562370181557, 28.23487481512874];14.0;-3.144;9.677;-1.466;
[-25.757526540175967, 28.234743206450048];14.0;-3.284;9.792;-1.405;
[-25.757492991488874, 28.234609670543506];14.0;-3.468;9.929;-1.676;
[-25.757459610261353, 28.234473250976247];14.0;-3.289;10.411;-1.526;
[-25.75743105788209, 28.23433448830978];14.0;-3.586;10.374;2.111;
[-25.75739958595152, 28.23421243270267];12.0;-3.774;10.596;3.11;
[-25.757373864099424, 28.23411119804931];10.0;-4.02;10.606;4.043;
[-25.757354831080146, 28.234036555583977];7.0;-4.323;10.617;2.297;
[-25.757346893120904, 28.23397703354493];5.0;-6.179;9.348;0.991;
[-25.757353175315934, 28.233922150587976];5.0;-7.268;9.049;-2.403;
[-25.75738649894778, 28.23388078924687];5.0;-7.492;9.868;-4.422;
[-25.75744249101625, 28.233857644481937];6.0;-6.183;10.265;-4.046;
[-25.757507409215464, 28.233837044330986];7.0;-5.109;9.991;-3.588;
[-25.75758461052388, 28.233814696453276];9.0;5.583;11.753;-3.531;
[-25.75767366017856, 28.233789816128624];10.0;3.312;10.537;-3.038;
[-25.75777283227428, 28.233762229427708];11.0;3.069;10.617;-2.742;
[-25.75787305309396, 28.233733634687773];11.0;3.2;10.912;-3.008;
[-25.757978170089274, 28.233703434805033];12.0;4.767;11.603;-4.994;
[-25.758089708506628, 28.233672165360034];13.0;4.501;11.356;-3.476;
[-25.75820213196035, 28.233634474325836];13.0;3.457;10.997;-1.529;
[-25.758311883404282, 28.233600458998787];13.0;3.616;11.324;2.783;
[-25.758410541868322, 28.23357076700036];11.0;3.418;11.339;2.497;
[-25.758490573714642, 28.233552171037648];9.0;2.577;10.93;3.762;
[-25.758544264164787, 28.233535542224335];5.0;2.462;10.901;2.886;
[-25.758582866632615, 28.233526136858792];4.0;2.603;11.773;-2.661;
