[-25.734493149926287, 28.24797815525123];0.0;0.128;-0.658;10.314;
[-25.734493149926287, 28.24797815525123];0.0;-1.27;-1.327;10.327;
[-25.734493149926287, 28.24797815525123];0.0;-8.847;-4.579;14.487;
[-25.734493149926287, 28.24797815525123];0.0;-10.003;9.67;11.751;
[-25.734493149926287, 28.24797815525123];0.0;-4.644;10.308;5.44;
[-25.734493149926287, 28.24797815525123];0.0;-19.609;9.985;11.776;
[-25.734493149926287, 28.24797815525123];0.0;12.938;7.742;9.449;
[-25.734493149926287, 28.24797815525123];0.0;-19.609;-8.544;15.382;
[-25.734493149926287, 28.24797815525123];0.0;-12.213;3.148;11.132;
[-25.734493149926287, 28.24797815525123];0.0;9.722;5.075;11.679;
[-25.734493149926287, 28.24797815525123];0.0;15.137;9.427;9.779;
[-25.734493149926287, 28.24797815525123];0.0;-15.405;6.652;17.037;
[-25.734493149926287, 28.24797815525123];0.0;12.289;6.84;13.424;
[-25.734673370154066, 28.247927850463217];1.0;-5.076;8.802;10.676;
[-25.734673370154066, 28.247927850463217];1.0;-3.266;7.643;7.828;
